timestamp,symbol,timeframe,open,high,low,close,volume
1999-11-01,MSTR,daily,99.0,101.0,96.5,48.94,250000.0
1999-11-02,MSTR,daily,97.25,99.38,95.88,49.065,226000.0
1999-11-03,MSTR,daily,99.5,100.5,98.13,49.94,269500.0
1999-11-04,MSTR,daily,99.88,100.31,98.5,49.69,146000.0
1999-11-05,MSTR,daily,100.0,101.0,95.5,47.94,241000.0
1999-11-08,MSTR,daily,96.81,96.81,93.25,47.25,220500.0
1999-11-09,MSTR,daily,95.5,96.0,93.0,46.815,135000.0
1999-11-10,MSTR,daily,93.0,94.5,87.31,47.125,481000.0
1999-11-11,MSTR,daily,92.5,93.56,88.5,44.44,202000.0
1999-11-12,MSTR,daily,90.13,90.13,79.63,41.315,638000.0
1999-11-15,MSTR,daily,82.81,86.34,80.5,42.875,400500.0
1999-11-16,MSTR,daily,89.0,97.56,88.75,46.625,648000.0
1999-11-17,MSTR,daily,93.88,93.88,90.0,45.72,254000.0
1999-11-18,MSTR,daily,91.97,96.0,91.81,47.875,317000.0
1999-11-19,MSTR,daily,95.63,99.63,95.59,49.25,202500.0
1999-11-22,MSTR,daily,97.59,103.88,92.5,50.875,279000.0
1999-11-23,MSTR,daily,101.81,105.0,96.63,49.78,255500.0
1999-11-24,MSTR,daily,97.5,112.25,97.5,54.655,363000.0
1999-11-26,MSTR,daily,117.25,123.38,115.13,60.22,183500.0
1999-11-29,MSTR,daily,139.25,144.31,123.0,67.875,507500.0
1999-11-30,MSTR,daily,131.0,137.0,119.5,61.25,268500.0
1999-12-01,MSTR,daily,124.13,130.0,115.38,63.03,120000.0
1999-12-02,MSTR,daily,124.88,132.0,124.0,65.5,81500.0
1999-12-03,MSTR,daily,134.25,147.63,132.69,73.0,188500.0
1999-12-06,MSTR,daily,143.0,199.25,141.75,96.94,720500.0
1999-12-07,MSTR,daily,180.13,195.0,178.0,89.585,473000.0
1999-12-08,MSTR,daily,177.38,204.88,171.63,97.0,494500.0
1999-12-09,MSTR,daily,201.0,219.94,192.0,107.315,362000.0
1999-12-10,MSTR,daily,219.63,232.0,200.63,115.655,272500.0
1999-12-13,MSTR,daily,231.06,234.59,213.13,113.0,384500.0
1999-12-14,MSTR,daily,224.0,225.0,190.5,95.72,507500.0
1999-12-15,MSTR,daily,180.38,186.88,159.0,85.955,697000.0
1999-12-16,MSTR,daily,177.0,179.25,162.56,83.375,212000.0
1999-12-17,MSTR,daily,175.75,186.75,172.0,86.97,281500.0
1999-12-20,MSTR,daily,181.0,185.0,166.0,84.75,135500.0
1999-12-21,MSTR,daily,169.31,179.0,166.0,89.0,172000.0
1999-12-22,MSTR,daily,179.0,194.0,173.0,88.25,164000.0
1999-12-23,MSTR,daily,177.44,187.88,171.0,87.5,105000.0
1999-12-27,MSTR,daily,179.13,179.13,158.88,82.0,155000.0
1999-12-28,MSTR,daily,160.75,200.0,156.0,98.75,365500.0
1999-12-29,MSTR,daily,197.69,210.0,194.5,101.5,241000.0
1999-12-30,MSTR,daily,208.44,210.5,193.5,102.0,185000.0
1999-12-31,MSTR,daily,201.75,213.0,196.88,105.0,105500.0
2000-01-03,MSTR,daily,231.0,231.0,195.81,104.25,267500.0
2000-01-04,MSTR,daily,209.75,228.25,195.75,98.0,437000.0
2000-01-05,MSTR,daily,199.0,211.75,179.56,104.25,306500.0
2000-01-06,MSTR,daily,215.0,216.13,199.0,100.125,228000.0
2000-01-07,MSTR,daily,204.94,217.0,197.25,105.19,281500.0
2000-01-10,MSTR,daily,222.0,262.0,222.0,125.625,418000.0
2000-01-11,MSTR,daily,251.38,256.0,232.0,119.25,176500.0
2000-01-12,MSTR,daily,247.0,250.0,225.25,115.5,173500.0
2000-01-13,MSTR,daily,233.0,233.19,218.0,113.5,172500.0
2000-01-14,MSTR,daily,227.0,230.0,219.63,113.97,92500.0
2000-01-18,MSTR,daily,244.25,250.0,235.0,120.69,197000.0
2000-01-19,MSTR,daily,245.0,276.0,241.0,132.5,372500.0
2000-01-20,MSTR,daily,270.0,300.0,269.5,143.915,415000.0
2000-01-21,MSTR,daily,281.31,296.0,272.5,144.565,259000.0
2000-01-24,MSTR,daily,293.5,314.0,277.94,141.5,439500.0
2000-01-25,MSTR,daily,289.81,289.88,266.0,144.5,244500.0
2000-01-26,MSTR,daily,293.5,310.0,288.0,147.5,335500.0
2000-01-27,MSTR,daily,151.38,154.88,142.0,149.56,168500.0
2000-01-28,MSTR,daily,138.63,156.0,136.13,155.0,510000.0
2000-01-31,MSTR,daily,154.56,155.0,131.5,138.88,554000.0
2000-02-01,MSTR,daily,138.19,138.19,124.0,132.75,629000.0
2000-02-02,MSTR,daily,129.63,147.0,128.0,145.0,384000.0
2000-02-03,MSTR,daily,148.0,151.0,144.13,149.0,268000.0
