timestamp,symbol,timeframe,open,high,low,close,volume
2024-11-08,IBIT,daily,43.44,44.09,43.1,43.69,44183719.0
2024-11-11,IBIT,daily,46.66,49.89,46.53,49.57,96319189.0
2024-11-12,IBIT,daily,49.02,51.26,48.515,51.05,77294935.0
2024-11-13,IBIT,daily,51.24,53.255,50.86,51.04,103319316.0
2024-11-14,IBIT,daily,51.99,52.3,49.7,49.73,60782759.0
2024-11-15,IBIT,daily,50.84,52.17,49.925,52.13,46939425.0
2024-11-18,IBIT,daily,51.5,52.8053,51.04,52.13,61429321.0
2024-11-19,IBIT,daily,52.16,53.66,51.91,52.7,80884031.0
2024-11-20,IBIT,daily,53.88,54.17,53.06,53.72,70154542.0
2024-11-21,IBIT,daily,55.41,56.505,54.41,55.9,93957586.0
2024-11-22,IBIT,daily,55.64,56.86,55.31,56.49,66020372.0
2024-11-25,IBIT,daily,55.41,55.49,53.67,54.02,69396705.0
2024-11-26,IBIT,daily,52.44,53.995,51.54,51.7,67423310.0
2024-11-27,IBIT,daily,53.83,55.49,53.66,55.03,61783541.0
2024-11-29,IBIT,daily,55.48,56.36,55.21,55.21,30337331.0
2024-12-02,IBIT,daily,54.66,55.545,53.75,54.48,52619439.0
2024-12-03,IBIT,daily,53.62,54.94,53.2833,54.46,39000438.0
2024-12-04,IBIT,daily,54.61,56.61,53.9,56.42,58655320.0
2024-12-05,IBIT,daily,58.595,59.16,55.7,56.4,89447615.0
2024-12-06,IBIT,daily,56.6,58.21,56.18,57.8,50016990.0
2024-12-09,IBIT,daily,56.41,57.25,54.635,54.73,55677607.0
2024-12-10,IBIT,daily,55.8,56.0,53.62,54.9,48810003.0
2024-12-11,IBIT,daily,56.19,57.98,56.04,57.72,48872589.0
2024-12-12,IBIT,daily,57.77,58.45,56.47,56.92,38811349.0
2024-12-13,IBIT,daily,57.2,58.09,56.73,57.91,37881688.0
2024-12-16,IBIT,daily,59.43,61.465,59.38,60.22,63994128.0
2024-12-17,IBIT,daily,61.37,61.75,60.15,60.73,49617650.0
2024-12-18,IBIT,daily,59.56,59.785,56.82,57.18,69862682.0
2024-12-19,IBIT,daily,58.195,58.48,54.28,54.72,79563946.0
2024-12-20,IBIT,daily,54.075,55.66,53.93,54.81,55327879.0
2024-12-23,IBIT,daily,54.27,54.34,52.5,52.87,44528518.0
2024-12-24,IBIT,daily,55.055,56.408,54.88,56.23,27692664.0
2024-12-26,IBIT,daily,54.42,54.96,54.06,54.3,26750363.0
2024-12-27,IBIT,daily,54.78,54.82,52.96,53.68,35983044.0
2024-12-30,IBIT,daily,52.8,53.94,51.77,53.55,39339961.0
2024-12-31,IBIT,daily,54.478,54.73,52.9,53.05,30143608.0
2025-01-02,IBIT,daily,54.895,55.73,54.59,55.37,41029151.0
2025-01-03,IBIT,daily,55.23,56.41,54.97,55.96,32839480.0
2025-01-06,IBIT,daily,56.365,58.455,56.24,58.17,47318389.0
2025-01-07,IBIT,daily,57.31,57.382,54.58,54.79,57081839.0
2025-01-08,IBIT,daily,54.27,54.61,52.51,53.34,47070972.0
2025-01-10,IBIT,daily,53.7,54.546405,52.3912,53.84,43996088.0
2025-01-13,IBIT,daily,51.65,53.33,50.69,53.22,44866491.0
2025-01-14,IBIT,daily,55.04,55.33,54.18,54.83,30772842.0
2025-01-15,IBIT,daily,56.14,57.35,53.9662,56.64,42124740.0
2025-01-16,IBIT,daily,56.53,57.29,55.3,57.09,35548005.0
2025-01-17,IBIT,daily,58.515,60.41,58.26,59.62,70766122.0
2025-01-21,IBIT,daily,59.87,61.08,58.41,60.42,63410700.0
2025-01-22,IBIT,daily,59.55,59.86,58.76,59.38,37667944.0
2025-01-23,IBIT,daily,58.23,60.82,58.16,58.79,118197641.0
2025-01-24,IBIT,daily,59.92,61.06,59.56,59.7,46082299.0
2025-01-27,IBIT,daily,57.32,58.2,56.15,57.67,61243064.0
2025-01-28,IBIT,daily,58.34,59.06,57.545,57.58,30257022.0
2025-01-29,IBIT,daily,58.12,59.67,57.66,59.34,38059401.0
2025-01-30,IBIT,daily,59.73,60.67,59.6,59.72,33479299.0
2025-01-31,IBIT,daily,59.61,60.4,57.65,57.71,41862067.0
2025-02-03,IBIT,daily,53.97,58.135,53.69,57.58,73864866.0
2025-02-04,IBIT,daily,56.51,57.4252,55.73,56.13,48597673.0
2025-02-05,IBIT,daily,56.21,56.47,54.87,55.33,24705047.0
2025-02-06,IBIT,daily,55.93,56.315,54.4101,55.12,28324404.0
2025-02-07,IBIT,daily,56.74,57.05,54.36,54.47,41477251.0
2025-02-10,IBIT,daily,55.61,55.77,55.08,55.38,21331756.0
2025-02-11,IBIT,daily,55.11,55.36,53.87,54.11,27542729.0
2025-02-12,IBIT,daily,53.83,55.56,53.7,55.16,34445186.0
2025-02-13,IBIT,daily,54.57,54.88,54.12,54.74,24211237.0
2025-02-14,IBIT,daily,54.94,56.36,54.75,55.33,27505401.0
2025-02-18,IBIT,daily,54.9,54.99,53.03,53.51,38190453.0
2025-02-19,IBIT,daily,54.83,55.0,54.22,54.65,29062141.0
2025-02-20,IBIT,daily,55.63,56.2,55.01,56.04,25814891.0
2025-02-21,IBIT,daily,56.39,56.55,53.79,53.92,48588622.0
2025-02-24,IBIT,daily,54.23,54.47,53.19,53.41,38111606.0
2025-02-25,IBIT,daily,50.655,50.66,48.67,50.03,103835173.0
2025-02-26,IBIT,daily,48.71,50.2299,46.69,47.96,86382553.0
2025-02-27,IBIT,daily,49.01,49.09,46.9,47.35,43346479.0
2025-02-28,IBIT,daily,46.54,48.44,46.065,47.9,59648323.0
2025-03-03,IBIT,daily,52.97,53.035,48.36,48.9,92274132.0
2025-03-04,IBIT,daily,47.03,50.56,46.28,49.39,72360145.0
2025-03-05,IBIT,daily,51.01,51.5,49.76,51.44,49050731.0
2025-03-06,IBIT,daily,51.155,52.02,49.88,50.64,50275047.0
2025-03-07,IBIT,daily,50.67,51.82,49.13,49.43,59351095.0
2025-03-10,IBIT,daily,46.99,47.12,43.95,44.91,83898882.0
2025-03-11,IBIT,daily,46.3,47.55,44.885,47.24,48562703.0
2025-03-12,IBIT,daily,47.38,47.645,45.795,47.15,32196179.0
2025-03-13,IBIT,daily,47.13,47.28,45.38,45.52,42870382.0
2025-03-14,IBIT,daily,47.385,48.555,46.99,48.14,43770196.0
2025-03-17,IBIT,daily,47.16,48.235,46.87,48.06,28998279.0
2025-03-18,IBIT,daily,46.825,46.92,46.09,46.81,33645549.0
2025-03-19,IBIT,daily,47.74,48.94,47.54,48.61,40812831.0
2025-03-20,IBIT,daily,48.39,49.225,47.49,47.85,30509054.0
2025-03-21,IBIT,daily,47.56,47.99,47.25,47.7,18141541.0
2025-03-24,IBIT,daily,49.64,50.5,49.59,50.18,29833259.0
2025-03-25,IBIT,daily,49.86,50.25,49.5,50.14,21846271.0
2025-03-26,IBIT,daily,49.75,50.02,48.77,49.18,28947990.0
2025-03-27,IBIT,daily,49.08,49.8089,48.795,49.44,33003960.0
2025-03-28,IBIT,daily,48.47,48.64,47.43,47.56,37749356.0
2025-03-31,IBIT,daily,46.88,47.69,46.341,46.81,24010791.0
2025-04-01,IBIT,daily,47.53,48.65,46.842,48.3,30139681.0
2025-04-02,IBIT,daily,48.13,49.715,48.04,49.41,38654714.0
2025-04-03,IBIT,daily,46.59,47.04,46.11,46.57,40675998.0
2025-04-04,IBIT,daily,46.94,48.11,46.43,47.71,68668830.0
2025-04-07,IBIT,daily,43.68,46.16,42.98,44.27,107582055.0
2025-04-08,IBIT,daily,45.54,45.65,43.255,43.59,50053346.0
2025-04-09,IBIT,daily,43.58,47.19,43.53,46.83,85507939.0
2025-04-10,IBIT,daily,46.41,46.49,44.505,45.17,45745683.0
2025-04-11,IBIT,daily,46.63,47.8869,46.18,47.67,54223514.0
2025-04-14,IBIT,daily,48.29,48.81,47.55,48.28,32514400.0
2025-04-15,IBIT,daily,48.8,49.19,47.68,47.74,24001676.0
2025-04-16,IBIT,daily,47.59,48.64,47.355,47.96,27463001.0
2025-04-17,IBIT,daily,48.15,48.65,47.615,48.26,23963579.0
2025-04-21,IBIT,daily,49.63,50.42,49.095,49.72,57126893.0
2025-04-22,IBIT,daily,51.0,52.27,50.88,52.08,83738112.0
2025-04-23,IBIT,daily,53.46,53.84,52.27,53.2,60960489.0
2025-04-24,IBIT,daily,52.75,53.31,52.65,53.26,28476587.0
2025-04-25,IBIT,daily,53.62,54.58,53.48,54.27,48230982.0
2025-04-28,IBIT,daily,54.09,54.17,53.12,53.88,34157234.0
2025-04-29,IBIT,daily,53.95,54.32,53.755,54.22,31214047.0
2025-04-30,IBIT,daily,53.75,53.765,52.76,53.51,34189557.0
2025-05-01,IBIT,daily,54.99,55.505,54.52,54.95,52802615.0
2025-05-02,IBIT,daily,55.16,55.74,54.9723,55.19,43449009.0
2025-05-05,IBIT,daily,53.52,53.97,53.18,53.63,24957666.0
2025-05-06,IBIT,daily,53.245,54.11,53.02,53.97,20578709.0
2025-05-07,IBIT,daily,54.99,55.455,54.45,54.68,29902962.0
2025-05-08,IBIT,daily,56.54,57.835,56.31,57.62,55449010.0
2025-05-09,IBIT,daily,58.56,59.0069,58.155,58.66,36503678.0
2025-05-12,IBIT,daily,59.18,59.48,57.23,57.88,44350645.0
2025-05-13,IBIT,daily,58.98,59.75,58.4571,59.62,38311997.0
2025-05-14,IBIT,daily,59.18,59.35,58.32,58.74,38499448.0
2025-05-15,IBIT,daily,58.28,59.255,57.62,58.67,33563849.0
2025-05-16,IBIT,daily,58.88,59.5,58.77,59.2,37353625.0
2025-05-19,IBIT,daily,58.29,60.06,58.2101,59.99,50625063.0
2025-05-20,IBIT,daily,59.485,61.05,59.2,60.91,49771135.0
2025-05-21,IBIT,daily,60.54,62.53,60.325,61.79,98801881.0
2025-05-22,IBIT,daily,63.35,63.7,62.81,63.23,66549464.0
2025-05-23,IBIT,daily,61.81,62.605,61.43,61.83,61971386.0
2025-05-27,IBIT,daily,62.84,63.04,61.825,62.5,49538643.0
2025-05-28,IBIT,daily,61.84,62.025,60.76,60.79,44241949.0
2025-05-29,IBIT,daily,61.58,61.61,59.9,59.99,70525244.0
2025-05-30,IBIT,daily,60.045,60.26,58.855,59.46,45680038.0
2025-06-02,IBIT,daily,59.07,59.555,58.88,59.36,30733544.0
2025-06-03,IBIT,daily,59.98,60.7799,59.71,60.4,37381640.0
2025-06-04,IBIT,daily,59.66,60.0035,59.16,59.64,32365259.0
2025-06-05,IBIT,daily,60.15,60.16,57.7,57.87,58411562.0
2025-06-06,IBIT,daily,59.09,59.97,59.0503,59.26,34477637.0
2025-06-09,IBIT,daily,61.13,61.86,60.78,61.77,43950313.0
2025-06-10,IBIT,daily,62.36,62.76,61.55,62.29,32894281.0
2025-06-11,IBIT,daily,62.4,62.79,61.6007,61.84,30336883.0
2025-06-12,IBIT,daily,60.7,61.65,60.52,60.7,36713593.0
2025-06-13,IBIT,daily,59.62,60.295,59.17,59.74,42127815.0
2025-06-16,IBIT,daily,60.6,61.95,60.51,61.8,42415243.0
2025-06-17,IBIT,daily,60.02,60.13,58.69,59.5,53900684.0
2025-06-18,IBIT,daily,59.065,59.9,58.82,58.97,40166415.0
2025-06-20,IBIT,daily,60.27,60.33,58.145,58.67,35261791.0
2025-06-23,IBIT,daily,57.48,58.76,56.625,58.67,63747161.0
2025-06-24,IBIT,daily,59.77,60.47,59.555,60.06,40387207.0
2025-06-25,IBIT,daily,61.33,61.525,60.71,61.275,40812513.0
2025-06-26,IBIT,daily,60.93,61.28,60.565,61.14,29434648.0
2025-06-27,IBIT,daily,60.685,61.25,60.47,60.72,35637887.0
2025-06-30,IBIT,daily,61.27,61.31,60.62,61.21,34173957.0
2025-07-01,IBIT,daily,60.58,60.925,59.825,59.84,35575457.0
2025-07-02,IBIT,daily,61.12,62.47,61.01,62.42,65900246.0
2025-07-03,IBIT,daily,62.21,62.94,62.015,62.19,32662368.0
